patient,feature_set,seed,arm,recipient,target_donor,control_donor,target_pixel_rms,control_pixel_rms,relative_amplitude_mismatch,other_tissue_drift,control_tissue_drift,numerical_checks_pass,observed_fraction_change,predicted_fraction_change,change_absolute_error
TCGA-A2-A04T,rgb,11,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,0.0012783408164978027,0.0009892622183542699
TCGA-A2-A04T,rgb,11,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.0007922649383544922,0.010007076896727085
TCGA-A2-A04T,rgb,11,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.00017452239990234375,0.00036419158277567476
TCGA-A2-A04T,rgb,23,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.004437506198883057,0.006092453375458717
TCGA-A2-A04T,rgb,23,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,-0.0005918145179748535,0.0010508659179322422
TCGA-A2-A04T,rgb,23,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.00468820333480835,0.0060117291286587715
TCGA-A2-A04T,rgb,23,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,-0.0005257129669189453,0.0008147915650624782
TCGA-A2-A04T,rgb,23,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.003922760486602783,0.006876581348478794
TCGA-A2-A04T,rgb,23,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.001728653907775879,0.00191832309064921
TCGA-A2-A04T,rgb,37,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.006459712982177734,0.00407024659216404
TCGA-A2-A04T,rgb,37,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,-0.0007013678550720215,0.0011604192550294101
TCGA-A2-A04T,rgb,37,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.006126284599304199,0.004573647864162922
TCGA-A2-A04T,rgb,37,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,-0.00013512372970581055,0.0004242023278493434
TCGA-A2-A04T,rgb,37,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.0066242218017578125,0.004175120033323765
TCGA-A2-A04T,rgb,37,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.002605438232421875,0.002795107415295206
TCGA-A2-A04T,rgb_texture,11,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.0038407742977142334,0.006689185276627541
TCGA-A2-A04T,rgb_texture,11,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,0.0033839941024780273,0.0029249427025206387
TCGA-A2-A04T,rgb_texture,11,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.004790693521499634,0.005909238941967487
TCGA-A2-A04T,rgb_texture,11,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,0.0031480491161346436,0.0028589705179911107
TCGA-A2-A04T,rgb_texture,11,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.004702270030975342,0.0060970718041062355
TCGA-A2-A04T,rgb_texture,11,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.0018535256385803223,0.0020431948214536533
TCGA-A2-A04T,rgb_texture,23,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.013671934604644775,0.0031419750303030014
TCGA-A2-A04T,rgb_texture,23,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,-0.006324648857116699,0.006783700257074088
