architecture,patient,factor,repeat,probability_IC_change
GCN,151,0.95,18,0.005839169025421143
GCN,151,0.95,19,0.021400272846221924
GCN,151,1.05,0,-0.02017742395401001
GCN,151,1.05,1,0.008335530757904053
GCN,151,1.05,2,-0.01313471794128418
GCN,151,1.05,3,-0.008296787738800049
GCN,151,1.05,4,-0.004867434501647949
GCN,151,1.05,5,0.00573354959487915
GCN,151,1.05,6,0.007044196128845215
GCN,151,1.05,7,0.025622904300689697
GCN,151,1.05,8,0.019427001476287842
GCN,151,1.05,9,-0.00789487361907959
GCN,151,1.05,10,-0.016708314418792725
GCN,151,1.05,11,0.004118859767913818
GCN,151,1.05,12,-0.0018718838691711426
GCN,151,1.05,13,-0.00985497236251831
GCN,151,1.05,14,0.005411088466644287
GCN,151,1.05,15,0.005110442638397217
GCN,151,1.05,16,0.029885709285736084
GCN,151,1.05,17,0.010366380214691162
GCN,151,1.05,18,0.010797858238220215
GCN,151,1.05,19,0.0037497878074645996
GCN,156,0.95,0,-0.016194581985473633
GCN,156,0.95,1,-0.001983165740966797
GCN,156,0.95,2,-0.012348651885986328
GCN,156,0.95,3,-0.004916548728942871
GCN,156,0.95,4,-0.023355960845947266
GCN,156,0.95,5,0.00760728120803833
GCN,156,0.95,6,-0.0005251765251159668
GCN,156,0.95,7,-0.010954618453979492
GCN,156,0.95,8,-0.0019000768661499023
GCN,156,0.95,9,0.01579439640045166
GCN,156,0.95,10,0.010133147239685059
GCN,156,0.95,11,0.015952587127685547
GCN,156,0.95,12,-0.0036665797233581543
GCN,156,0.95,13,-0.0006038546562194824
GCN,156,0.95,14,-0.012117505073547363
GCN,156,0.95,15,0.005354762077331543
GCN,156,0.95,16,-0.015938162803649902
GCN,156,0.95,17,-0.016707301139831543
GCN,156,0.95,18,0.0012589097023010254
GCN,156,0.95,19,0.005784273147583008
GCN,156,1.05,0,0.0077435970306396484
GCN,156,1.05,1,-0.002441883087158203
GCN,156,1.05,2,-0.011343955993652344
GCN,156,1.05,3,0.01034623384475708
GCN,156,1.05,4,-0.015793561935424805
GCN,156,1.05,5,0.003034830093383789
GCN,156,1.05,6,-0.002160012722015381
GCN,156,1.05,7,0.015406906604766846
GCN,156,1.05,8,0.0019865036010742188
GCN,156,1.05,9,-0.001744985580444336
GCN,156,1.05,10,0.01483088731765747
GCN,156,1.05,11,0.0007696747779846191
GCN,156,1.05,12,-0.009682178497314453
GCN,156,1.05,13,-0.01028299331665039
GCN,156,1.05,14,0.010104179382324219
GCN,156,1.05,15,0.016097664833068848
GCN,156,1.05,16,0.0007216930389404297
GCN,156,1.05,17,-0.0018432140350341797
GCN,156,1.05,18,-0.010322034358978271
GCN,156,1.05,19,0.006002902984619141
GCN,162,0.95,0,0.019136369228363037
GCN,162,0.95,1,0.0052866339683532715
GCN,162,0.95,2,-0.011248528957366943
GCN,162,0.95,3,-0.00639420747756958
GCN,162,0.95,4,0.015963613986968994
GCN,162,0.95,5,0.012144148349761963
GCN,162,0.95,6,0.00015789270401000977
GCN,162,0.95,7,0.0027999281883239746
GCN,162,0.95,8,0.000728905200958252
GCN,162,0.95,9,0.0019955039024353027
GCN,162,0.95,10,0.0033999085426330566
GCN,162,0.95,11,0.015130281448364258
GCN,162,0.95,12,-0.03034597635269165
GCN,162,0.95,13,-0.023319542407989502
GCN,162,0.95,14,0.005018055438995361
GCN,162,0.95,15,0.005717456340789795
GCN,162,0.95,16,-0.007881879806518555
GCN,162,0.95,17,-0.006665229797363281
GCN,162,0.95,18,-0.013263225555419922
GCN,162,0.95,19,-0.01749110221862793
GCN,162,1.05,0,0.016519546508789062
GCN,162,1.05,1,0.022666215896606445
GCN,162,1.05,2,-0.001499474048614502
GCN,162,1.05,3,0.005397617816925049
GCN,162,1.05,4,-0.020150601863861084
GCN,162,1.05,5,-0.00796431303024292
GCN,162,1.05,6,-0.0050844550132751465
GCN,162,1.05,7,-0.006902635097503662
GCN,162,1.05,8,0.0037181973457336426
GCN,162,1.05,9,-0.01300281286239624
GCN,162,1.05,10,0.013390839099884033
GCN,162,1.05,11,3.147125244140625e-05
GCN,162,1.05,12,0.02288609743118286
GCN,162,1.05,13,-0.01974087953567505
GCN,162,1.05,14,0.012939214706420898
GCN,162,1.05,15,0.014487683773040771
GCN,162,1.05,16,0.007704794406890869
GCN,162,1.05,17,0.002536296844482422
GCN,162,1.05,18,-0.028000295162200928
GCN,162,1.05,19,-0.008989274501800537
GCN,178,0.95,0,-0.010899335145950317
GCN,178,0.95,1,0.010021954774856567
GCN,178,0.95,2,-0.0007500648498535156
GCN,178,0.95,3,-0.007562950253486633
GCN,178,0.95,4,-0.0008550286293029785
GCN,178,0.95,5,0.007566094398498535
GCN,178,0.95,6,0.0022440552711486816
GCN,178,0.95,7,0.00594666600227356
GCN,178,0.95,8,-0.0009846687316894531
GCN,178,0.95,9,-0.0076401084661483765
GCN,178,0.95,10,-0.00027742981910705566
GCN,178,0.95,11,0.004514724016189575
GCN,178,0.95,12,0.002799510955810547
GCN,178,0.95,13,-0.011319130659103394
GCN,178,0.95,14,-0.002614647150039673
GCN,178,0.95,15,-0.0014876127243041992
GCN,178,0.95,16,0.008627653121948242
GCN,178,0.95,17,-0.0026134252548217773
GCN,178,0.95,18,-0.00039267539978027344
GCN,178,0.95,19,0.0012549161911010742
GCN,178,1.05,0,0.005291789770126343
GCN,178,1.05,1,0.0009723305702209473
GCN,178,1.05,2,0.0045964717864990234
GCN,178,1.05,3,0.002008497714996338
GCN,178,1.05,4,-0.003018796443939209
GCN,178,1.05,5,0.0001995563507080078
GCN,178,1.05,6,0.006626695394515991
GCN,178,1.05,7,-0.006893441081047058
GCN,178,1.05,8,-0.006376698613166809
GCN,178,1.05,9,-0.0161532461643219
GCN,178,1.05,10,-0.005022123456001282
GCN,178,1.05,11,0.015192598104476929
GCN,178,1.05,12,-0.0010558366775512695
GCN,178,1.05,13,0.009303092956542969
GCN,178,1.05,14,0.01627179980278015
GCN,178,1.05,15,-0.0015634596347808838
GCN,178,1.05,16,-0.0023726820945739746
GCN,178,1.05,17,0.0040513575077056885
GCN,178,1.05,18,0.0054559409618377686
GCN,178,1.05,19,0.006206601858139038
GCN,179,0.95,0,0.0037929415702819824
GCN,179,0.95,1,0.011148571968078613
GCN,179,0.95,2,-0.00029546022415161133
GCN,179,0.95,3,0.010859668254852295
GCN,179,0.95,4,-0.000512540340423584
GCN,179,0.95,5,0.010245025157928467
GCN,179,0.95,6,-0.002753615379333496
GCN,179,0.95,7,-0.004297792911529541
GCN,179,0.95,8,0.01493847370147705
GCN,179,0.95,9,-0.002880871295928955
GCN,179,0.95,10,-0.01017904281616211
GCN,179,0.95,11,0.008869767189025879
GCN,179,0.95,12,0.014203250408172607
GCN,179,0.95,13,0.009401500225067139
GCN,179,0.95,14,0.012829899787902832
GCN,179,0.95,15,-0.011989414691925049
GCN,179,0.95,16,0.00276106595993042
GCN,179,0.95,17,0.0147627592086792
GCN,179,0.95,18,-0.0031331777572631836
GCN,179,0.95,19,0.014591991901397705
GCN,179,1.05,0,-0.01946854591369629
GCN,179,1.05,1,-0.0003088712692260742
GCN,179,1.05,2,0.013272762298583984
GCN,179,1.05,3,-5.8770179748535156e-05
GCN,179,1.05,4,0.008749186992645264
GCN,179,1.05,5,0.02265608310699463
GCN,179,1.05,6,-0.002690434455871582
GCN,179,1.05,7,0.0015361309051513672
GCN,179,1.05,8,0.013363242149353027
GCN,179,1.05,9,0.023133933544158936
