architecture,patient,area_factor,method,repeat,probability_IC_change,area_probe_shift_sd,eccentricity_probe_shift_sd,solidity_probe_shift_sd,feature_support_fraction,clinical_validity
GCN,102,0.95,random,11,-0.005288660526275635,-0.0074395835399627686,0.02088148519396782,0.00787755474448204,1.0,False
GCN,102,0.95,random,12,0.0007055401802062988,-0.0017952919006347656,0.016346853226423264,-0.03428598493337631,1.0,False
GCN,102,0.95,random,13,-0.0005969405174255371,-0.0029454827308654785,0.01859387382864952,0.0035173483192920685,1.0,False
GCN,102,0.95,random,14,-0.0016794800758361816,-0.010101765394210815,0.005900446325540543,-0.026394642889499664,1.0,False
GCN,102,0.95,random,15,-0.0017510056495666504,-0.009090214967727661,0.005936469882726669,-0.027962613850831985,1.0,False
GCN,102,0.95,random,16,0.0005571842193603516,-0.006773054599761963,-0.0068043433129787445,0.02864701673388481,1.0,False
GCN,102,0.95,random,17,-0.00023764371871948242,0.01536598801612854,0.009987454861402512,0.025840330868959427,1.0,False
GCN,102,0.95,random,18,0.0001437664031982422,0.014120370149612427,-0.0050745196640491486,0.03417756035923958,1.0,False
GCN,102,0.95,random,19,-0.000921785831451416,-0.013039201498031616,0.0006186403334140778,-0.019298292696475983,1.0,False
GCN,102,1.05,gcia_morphology,-1,0.02663654088973999,0.15573972463607788,-0.005885466933250427,0.02056824043393135,1.0,False
GCN,102,1.05,random,0,0.0032826662063598633,-0.0060533881187438965,-0.023960910737514496,-0.004371941089630127,1.0,False
GCN,102,1.05,random,1,-0.002352774143218994,-0.008466541767120361,-0.020420346409082413,-0.01044543832540512,1.0,False
GCN,102,1.05,random,2,-0.0038316845893859863,-0.012686312198638916,0.009164545685052872,0.011481013149023056,1.0,False
GCN,102,1.05,random,3,0.0032920241355895996,0.015288949012756348,-0.0026703402400016785,0.023428183048963547,1.0,False
GCN,102,1.05,random,4,0.000451505184173584,0.001485198736190796,-0.012817230075597763,0.0021739862859249115,1.0,False
GCN,102,1.05,random,5,0.001598954200744629,0.0040400028228759766,0.053813036531209946,-0.032794512808322906,1.0,False
GCN,102,1.05,random,6,-0.003955185413360596,0.002603381872177124,0.012869138270616531,0.045113977044820786,1.0,False
GCN,102,1.05,random,7,-0.00040662288665771484,0.013523757457733154,-4.254654049873352e-05,0.0023720525205135345,1.0,False
GCN,102,1.05,random,8,-0.0013557672500610352,-0.004138827323913574,0.022784072905778885,0.004864562302827835,1.0,False
GCN,102,1.05,random,9,-0.003350198268890381,-0.008720338344573975,-0.005895394831895828,-0.0019379518926143646,1.0,False
GCN,102,1.05,random,10,0.003588259220123291,0.014275789260864258,-0.02189510688185692,0.0019527189433574677,1.0,False
GCN,102,1.05,random,11,-0.004540562629699707,-0.009314358234405518,0.04376712068915367,0.029305879026651382,1.0,False
