stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.19134469330310822,0.03807777166366577,0.15326692163944244,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_9,,test_9_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.2571946680545807,0.10596172511577606,0.15123294293880463,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_9,,test_9_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.2571946680545807,0.0799821987748146,0.17721247673034668,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_9,,test_9_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.19134469330310822,0.4907265305519104,-0.2993818521499634,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_9,,test_9_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.19134469330310822,0.46265292167663574,-0.2713082432746887,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_9,,test_9_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.2571946680545807,0.4833279252052307,-0.22613325715065002,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_9,,test_9_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.2571946680545807,0.4933692216873169,-0.2361745536327362,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_9,,test_9_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44256144762039185,0.2394205927848816,0.20314085483551025,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44256144762039185,0.2960628569126129,0.14649859070777893,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_10,,test_10_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.36098504066467285,0.19793808460235596,0.1630469560623169,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.36098504066467285,0.21376527845859528,0.14721976220607758,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44256144762039185,0.6004529595375061,-0.15789151191711426,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44256144762039185,0.5919344425201416,-0.14937299489974976,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_101,,,,
