patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SP,development,11,0.1,15,random,5,0.005131274461746216,0.005131274461746216
TCGA-A1-A0SP,development,11,0.1,15,random,6,2.9653310775756836e-05,2.9653310775756836e-05
TCGA-A1-A0SP,development,11,0.1,15,random,7,-0.010894149541854858,0.010894149541854858
TCGA-A1-A0SP,development,11,0.1,15,random,8,-0.01069188117980957,0.01069188117980957
TCGA-A1-A0SP,development,11,0.1,15,random,9,-0.004686683416366577,0.004686683416366577
TCGA-A1-A0SP,development,11,0.1,15,random,10,-0.006559014320373535,0.006559014320373535
TCGA-A1-A0SP,development,11,0.1,15,random,11,0.010850906372070312,0.010850906372070312
TCGA-A1-A0SP,development,11,0.1,15,random,12,-0.02735072374343872,0.02735072374343872
TCGA-A1-A0SP,development,11,0.1,15,random,13,-0.0037574470043182373,0.0037574470043182373
TCGA-A1-A0SP,development,11,0.1,15,random,14,0.00697597861289978,0.00697597861289978
TCGA-A1-A0SP,development,11,0.1,15,random,15,0.00627562403678894,0.00627562403678894
TCGA-A1-A0SP,development,11,0.1,15,random,16,0.0037758052349090576,0.0037758052349090576
TCGA-A1-A0SP,development,11,0.1,15,random,17,-0.008470803499221802,0.008470803499221802
TCGA-A1-A0SP,development,11,0.1,15,random,18,0.010216325521469116,0.010216325521469116
TCGA-A1-A0SP,development,11,0.1,15,random,19,0.004759371280670166,0.004759371280670166
TCGA-A1-A0SP,development,11,0.2,30,gnnexplainer,-1,0.024139761924743652,0.024139761924743652
TCGA-A1-A0SP,development,11,0.2,30,random,0,0.06104961037635803,0.06104961037635803
TCGA-A1-A0SP,development,11,0.2,30,random,1,0.0005154311656951904,0.0005154311656951904
TCGA-A1-A0SP,development,11,0.2,30,random,2,-0.007278770208358765,0.007278770208358765
TCGA-A1-A0SP,development,11,0.2,30,random,3,-0.0023161470890045166,0.0023161470890045166
TCGA-A1-A0SP,development,11,0.2,30,random,4,0.01728677749633789,0.01728677749633789
TCGA-A1-A0SP,development,11,0.2,30,random,5,-0.011640727519989014,0.011640727519989014
TCGA-A1-A0SP,development,11,0.2,30,random,6,0.011100351810455322,0.011100351810455322
TCGA-A1-A0SP,development,11,0.2,30,random,7,0.028339534997940063,0.028339534997940063
TCGA-A1-A0SP,development,11,0.2,30,random,8,0.004980981349945068,0.004980981349945068
TCGA-A1-A0SP,development,11,0.2,30,random,9,0.014961600303649902,0.014961600303649902
TCGA-A1-A0SP,development,11,0.2,30,random,10,0.007862508296966553,0.007862508296966553
TCGA-A1-A0SP,development,11,0.2,30,random,11,0.008962571620941162,0.008962571620941162
TCGA-A1-A0SP,development,11,0.2,30,random,12,0.02686581015586853,0.02686581015586853
TCGA-A1-A0SP,development,11,0.2,30,random,13,0.03057694435119629,0.03057694435119629
TCGA-A1-A0SP,development,11,0.2,30,random,14,0.0016257762908935547,0.0016257762908935547
TCGA-A1-A0SP,development,11,0.2,30,random,15,0.0023690760135650635,0.0023690760135650635
