patient,seed,fraction,method,repeat,predicted_class_drop
101,37,0.05,gnnexplainer,-1,0.023412028327584267
101,37,0.05,random,0,0.004774412140250206
101,37,0.05,random,1,0.005323199555277824
101,37,0.05,random,2,0.001111334189772606
101,37,0.05,random,3,0.004064349457621574
101,37,0.05,random,4,0.004828959703445435
101,37,0.05,random,5,0.0038435477763414383
101,37,0.05,random,6,0.007334955036640167
101,37,0.05,random,7,0.0018512196838855743
101,37,0.05,random,8,0.00298314169049263
101,37,0.05,random,9,0.003931298851966858
101,37,0.05,random,10,0.009491242468357086
101,37,0.05,random,11,0.007971389219164848
101,37,0.05,random,12,0.0028775520622730255
101,37,0.05,random,13,0.0015673059970140457
101,37,0.05,random,14,0.0012505799531936646
101,37,0.05,random,15,0.006469309329986572
101,37,0.05,random,16,0.005380166694521904
101,37,0.05,random,17,0.0025876499712467194
101,37,0.05,random,18,0.006528530269861221
101,37,0.05,random,19,0.0064487215131521225
101,37,0.1,gnnexplainer,-1,0.05173822306096554
101,37,0.1,random,0,0.012659285217523575
101,37,0.1,random,1,0.012569833546876907
101,37,0.1,random,2,0.001688910648226738
101,37,0.1,random,3,0.0033207349479198456
101,37,0.1,random,4,0.010107768699526787
101,37,0.1,random,5,0.01000358909368515
101,37,0.1,random,6,0.012377563863992691
101,37,0.1,random,7,0.010778654366731644
101,37,0.1,random,8,0.0012575704604387283
101,37,0.1,random,9,0.016903700307011604
101,37,0.1,random,10,0.010951153934001923
101,37,0.1,random,11,0.001978246495127678
101,37,0.1,random,12,0.006608929485082626
101,37,0.1,random,13,0.010264597833156586
101,37,0.1,random,14,0.009409544989466667
101,37,0.1,random,15,0.005042023956775665
101,37,0.1,random,16,0.009635720402002335
101,37,0.1,random,17,0.005300354212522507
101,37,0.1,random,18,0.00808672234416008
101,37,0.1,random,19,0.008509393781423569
101,37,0.2,gnnexplainer,-1,0.13653063587844372
101,37,0.2,random,0,0.03565857745707035
101,37,0.2,random,1,0.022266337648034096
101,37,0.2,random,2,0.027715710923075676
101,37,0.2,random,3,0.010861886665225029
101,37,0.2,random,4,0.03600207157433033
101,37,0.2,random,5,0.00928988866508007
101,37,0.2,random,6,0.010074792429804802
101,37,0.2,random,7,0.034751513972878456
101,37,0.2,random,8,0.018103180453181267
101,37,0.2,random,9,0.01761269010603428
101,37,0.2,random,10,0.018474223092198372
101,37,0.2,random,11,0.016086598858237267
101,37,0.2,random,12,0.03344210796058178
101,37,0.2,random,13,0.01923973299562931
101,37,0.2,random,14,0.012719271704554558
101,37,0.2,random,15,0.03277437202632427
101,37,0.2,random,16,0.000597802922129631
101,37,0.2,random,17,0.016129830852150917
101,37,0.2,random,18,0.016533704474568367
101,37,0.2,random,19,0.028424570336937904
102,11,0.05,gnnexplainer,-1,0.03779973275959492
102,11,0.05,random,0,3.6507844924926758e-06
102,11,0.05,random,1,0.003017265349626541
102,11,0.05,random,2,0.0064486172050237656
102,11,0.05,random,3,0.023258956149220467
102,11,0.05,random,4,0.022835860028862953
102,11,0.05,random,5,0.018415646627545357
102,11,0.05,random,6,0.006374932825565338
102,11,0.05,random,7,0.0029885433614253998
102,11,0.05,random,8,0.00517684780061245
102,11,0.05,random,9,0.003310173749923706
102,11,0.05,random,10,-0.0029532257467508316
102,11,0.05,random,11,0.01352890394628048
102,11,0.05,random,12,0.0025439560413360596
102,11,0.05,random,13,0.006274035200476646
102,11,0.05,random,14,0.010920325294137001
102,11,0.05,random,15,0.016046443954110146
102,11,0.05,random,16,0.01295383833348751
102,11,0.05,random,17,0.024108702316880226
102,11,0.05,random,18,0.0013333670794963837
102,11,0.05,random,19,0.01268000341951847
102,11,0.1,gnnexplainer,-1,0.08943903259932995
102,11,0.1,random,0,0.008495593443512917
102,11,0.1,random,1,0.006500251591205597
102,11,0.1,random,2,-0.005489936098456383
102,11,0.1,random,3,0.03712853975594044
102,11,0.1,random,4,-0.0027946699410676956
102,11,0.1,random,5,0.012912670150399208
102,11,0.1,random,6,0.022687191143631935
102,11,0.1,random,7,0.009502658620476723
102,11,0.1,random,8,0.029469778761267662
102,11,0.1,random,9,0.02381301112473011
102,11,0.1,random,10,0.010490218177437782
102,11,0.1,random,11,0.009418847039341927
102,11,0.1,random,12,0.005738427862524986
102,11,0.1,random,13,0.00730261392891407
102,11,0.1,random,14,0.016102323308587074
102,11,0.1,random,15,0.027287015691399574
102,11,0.1,random,16,0.018417904153466225
102,11,0.1,random,17,0.003535887226462364
102,11,0.1,random,18,0.02424859069287777
102,11,0.1,random,19,0.010056139901280403
102,11,0.2,gnnexplainer,-1,0.23416434787213802
102,11,0.2,random,0,0.0036680828779935837
102,11,0.2,random,1,0.055406978353857994
102,11,0.2,random,2,0.04131367616355419
102,11,0.2,random,3,0.0026888903230428696
102,11,0.2,random,4,0.033686110749840736
102,11,0.2,random,5,0.011249011382460594
102,11,0.2,random,6,0.04501110129058361
102,11,0.2,random,7,0.06790707819163799
102,11,0.2,random,8,0.024333002045750618
102,11,0.2,random,9,0.042001185938715935
102,11,0.2,random,10,0.027397828176617622
102,11,0.2,random,11,0.04965025745332241
102,11,0.2,random,12,0.05380655638873577
102,11,0.2,random,13,0.030753860250115395
102,11,0.2,random,14,0.03271723724901676
102,11,0.2,random,15,0.061977943405508995
102,11,0.2,random,16,0.022807622328400612
102,11,0.2,random,17,0.01668647490441799
102,11,0.2,random,18,0.038050564005970955
102,11,0.2,random,19,0.026235492900013924
102,23,0.05,gnnexplainer,-1,0.03589043952524662
102,23,0.05,random,0,0.009215233847498894
102,23,0.05,random,1,0.015418002381920815
102,23,0.05,random,2,0.003710513934493065
102,23,0.05,random,3,0.003712531179189682
102,23,0.05,random,4,0.01451019011437893
102,23,0.05,random,5,0.0024180859327316284
102,23,0.05,random,6,0.006926676258444786
102,23,0.05,random,7,0.0134353656321764
102,23,0.05,random,8,0.004687782377004623
102,23,0.05,random,9,0.0018742308020591736
102,23,0.05,random,10,9.730271995067596e-05
102,23,0.05,random,11,-0.0006416104733943939
102,23,0.05,random,12,0.0003427155315876007
102,23,0.05,random,13,0.017068961635231972
102,23,0.05,random,14,0.0030060522258281708
102,23,0.05,random,15,0.025043847039341927
102,23,0.05,random,16,0.008062506094574928
102,23,0.05,random,17,0.014666950330138206
102,23,0.05,random,18,0.012412110343575478
102,23,0.05,random,19,0.00019166246056556702
102,23,0.1,gnnexplainer,-1,0.08638153783977032
102,23,0.1,random,0,0.0009634010493755341
102,23,0.1,random,1,0.015824830159544945
102,23,0.1,random,2,0.01120123453438282
102,23,0.1,random,3,0.020028283819556236
102,23,0.1,random,4,0.020315757021307945
102,23,0.1,random,5,0.003061950206756592
102,23,0.1,random,6,0.004733473062515259
102,23,0.1,random,7,0.01351437158882618
102,23,0.1,random,8,0.009352387860417366
102,23,0.1,random,9,0.009198969230055809
102,23,0.1,random,10,0.024978285655379295
102,23,0.1,random,11,-0.006014211103320122
102,23,0.1,random,12,0.005439769476652145
102,23,0.1,random,13,0.017158830538392067
102,23,0.1,random,14,0.006406750530004501
102,23,0.1,random,15,0.01547817699611187
102,23,0.1,random,16,0.0018081720918416977
102,23,0.1,random,17,0.015103349462151527
102,23,0.1,random,18,0.026737546548247337
102,23,0.1,random,19,0.040824322029948235
102,23,0.2,gnnexplainer,-1,0.238525053486228
102,23,0.2,random,0,0.00623982772231102
102,23,0.2,random,1,0.03891381435096264
102,23,0.2,random,2,0.020611518993973732
102,23,0.2,random,3,0.04408851079642773
102,23,0.2,random,4,0.044229550287127495
102,23,0.2,random,5,0.024288317188620567
102,23,0.2,random,6,0.026852907612919807
102,23,0.2,random,7,0.028665816411376
102,23,0.2,random,8,0.04277983121573925
102,23,0.2,random,9,0.015153324231505394
102,23,0.2,random,10,0.042469946667551994
102,23,0.2,random,11,0.03688325546681881
102,23,0.2,random,12,0.026092326268553734
102,23,0.2,random,13,0.018748538568615913
102,23,0.2,random,14,0.012847339734435081
102,23,0.2,random,15,0.0482668187469244
102,23,0.2,random,16,0.026692023500800133
102,23,0.2,random,17,0.03416048549115658
102,23,0.2,random,18,0.04243430308997631
102,23,0.2,random,19,0.03852934204041958
102,37,0.05,gnnexplainer,-1,0.034344667568802834
